scenario,metric,rebar,actix,go,elixir
throughput_c1,rps,1,012,2,625,2,464,1,112
throughput_c10,rps,14,506,9,230,2,216,2,734
throughput_c50,rps,25,785,11,812,721,3,560
throughput_c100,rps,25,856,13,175,642,3,410
throughput_c500,rps,17,616,11,478,604,3,330
throughput_c1000,rps,14,323,11,795,2,138,3,320
latency,rps,16,890,10,794,993,3,405
latency,p50,5.34ms,9.02ms,54.98ms,28.78ms
latency,p95,10.65ms,14.45ms,332ms,40.05ms
latency,p99,14.11ms,17.71ms,866ms,47.28ms
cross_node,rps,16,302,10,865,1,262,3,420
cross_node,p50,5.68ms,8.95ms,20.44ms,28.61ms
cross_node,p95,10.96ms,14.55ms,301ms,39.80ms
cross_node,p99,14.13ms,18.12ms,1103ms,46.83ms
spawn_stress,rps,14,118,12,664,5,025,3,735
spawn_stress,p50,3.11ms,3.61ms,8.30ms,13.10ms
spawn_stress,p95,6.39ms,7.18ms,21.92ms,19.91ms
spawn_stress,p99,10.63ms,9.89ms,31.92ms,25.00ms
